"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Westburg, Jordan",676059,2024,369,22.2,4.9,0.349,0.354,37.6,11.8,46.8,101.9277291,95.38237813,30,52.2
"Goldschmidt, Paul",502671,2024,404,28.2,7.4,0.292,0.328,34.8,9.4,49,101.7296527,95.60834079,27.3,46.4
"Rodgers, Brendan",663898,2024,310,22.3,5.8,0.301,0.307,30.6,5,44.6,101.2760752,94.86198624,24.7,49.9
"Rodríguez, Julio",677594,2024,402,27.4,5.7,0.306,0.341,33,9.8,47.7,103.7456114,96.35663064,31.2,54.3
"Arcia, Orlando",606115,2024,340,21.8,4.1,0.25,0.242,28.8,4.8,41.6,98.9091968,93.66730161,26,50.4
"Santana, Carlos",467793,2024,344,15.7,9.6,0.328,0.323,31.2,6.3,38.3,99.09394047,93.75449486,23.1,43.3
"De La Cruz, Elly",682829,2024,412,30.8,10.9,0.359,0.336,34.9,12.8,43,102.528193,95.59848391,32.5,42.5
"Santander, Anthony",623993,2024,382,18.8,7.1,0.343,0.325,37.5,11.2,40.4,100.2564586,94.28092207,19.9,50.9
"García, Luis",671277,2024,320,15.6,4.4,0.328,0.343,33.2,8.2,39.5,100.2458963,94.27815323,21.4,51.3
"Mountcastle, Ryan",663624,2024,366,21,5.7,0.327,0.347,33.7,9.4,47.6,102.416794,95.59887075,22.9,55.5
"DeJong, Paul",657557,2024,329,31.6,4,0.301,0.289,37.3,9.8,42.2,99.92686412,94.17421005,33.2,58.4
"Reynolds, Bryan",668804,2024,429,21,7.9,0.36,0.367,35.7,11,48,101.5096746,95.1777073,28.5,48.7
"Greene, Riley",682985,2024,408,25,12,0.372,0.363,38.3,13.4,46.2,101.8215713,95.40675379,25.7,42.8
"Ward, Taylor",621493,2024,391,25.3,10.5,0.313,0.356,40.7,14.1,44.1,100.5122808,94.78066875,25.9,41.2
"Ozuna, Marcell",542303,2024,401,23.4,10.7,0.408,0.434,42.4,17.9,56.3,103.7621276,97.01144446,31.6,47.6
"Springer III, George",543807,2024,369,16.8,10.6,0.301,0.341,32.8,8.3,37.6,100.2718933,94.23973408,23.2,50.2
"Winker, Jesse",608385,2024,355,22.3,13.5,0.356,0.339,29,9,38.9,99.35525009,93.8925756,20.8,42
"Paredes, Isaac",670623,2024,385,17.1,11.7,0.359,0.309,36.2,6,26.8,95.97981737,92.00599974,17.9,44.4
"Meneses, Joey",608841,2024,313,20.1,6.7,0.265,0.276,30.8,4.5,39.3,99.26545491,93.86743184,22.9,50.8
"Busch, Michael",683737,2024,336,31,11.6,0.357,0.327,42.4,11.5,37.7,99.71826926,94.16462365,30.6,45.5
"Seager, Corey",608369,2024,358,17.3,11.2,0.354,0.387,35.4,15.4,48.8,103.0783828,95.87494419,22.5,51.7
