년도	타석	홈런	삼진	볼넷	삼진비율	볼넷비율	타율	출루율	타점	예상장타율	가중출루율	예상출루율	헛스윙비율	스윙비율
308	 India, Jonathan	2021	631	21	141	71	22.3	11.3	.269	.835	69	.436	.363	.364	25.1	39.0
309	 Candelario, Jeimer	2021	626	16	135	65	21.6	10.4	.271	.794	67	.462	.344	.358	23.4	47.6
310	 Canha, Mark	2021	625	17	128	77	20.5	12.3	.231	.745	61	.378	.333	.358	21.5	40.5
311	 Chapman, Matt	2021	622	27	202	80	32.5	12.9	.210	.717	72	.423	.311	.315	32.7	44.6
312	 García, Adolis	2021	622	31	194	32	31.2	5.1	.243	.740	90	.422	.314	.267	34.2	54.1
313	 Carlson, Dylan	2021	619	18	152	57	24.6	9.2	.266	.780	65	.407	.336	.328	27.9	45.0
314	 Gallo, Joey	2021	616	38	213	111	34.6	18.0	.199	.809	77	.460	.348	.352	38.8	40.4
315	 Mancini III, Trey	2021	616	21	143	51	23.2	8.3	.255	.758	71	.452	.326	.337	29.6	47.0
316	 Moncada, Yoán	2021	616	14	157	84	25.5	13.6	.263	.787	61	.426	.347	.374	28.1	42.6
317	 Lowe, Brandon	2021	615	39	167	68	27.2	11.1	.247	.863	99	.499	.363	.343	32.8	52.5
318	 Turner, Justin	2021	612	27	98	61	16.0	10.0	.278	.832	87	.470	.358	.358	17.7	44.5
319	 Gurriel, Yuli	2021	605	15	68	59	11.2	9.8	.319	.845	81	.386	.363	.347	13.9	42.8
320	 Verdugo, Alex	2021	604	13	96	51	15.9	8.4	.289	.777	63	.446	.334	.348	17.7	44.7
321	 Arozarena, Randy	2021	604	20	170	56	28.1	9.3	.274	.815	69	.369	.350	.313	32.4	44.2
322	 Bogaerts, Xander	2021	603	23	113	62	18.7	10.3	.295	.863	79	.468	.368	.359	22.0	45.7
323	 Soler, Jorge	2021	602	27	142	67	23.6	11.1	.223	.748	70	.494	.323	.341	29.2	44.8
324	 Escobar, Eduardo	2021	599	28	124	48	20.7	8.0	.253	.786	90	.453	.334	.310	23.9	49.5
325	 Harper, Bryce	2021	599	35	134	100	22.4	16.7	.309	1.044	84	.609	.431	.423	31.9	47.5
326	 Alvarez, Yordan	2021	598	33	145	50	24.2	8.4	.277	.877	104	.570	.369	.351	22.7	43.1
327	 McMahon, Ryan	2021	596	23	147	59	24.7	9.9	.254	.780	86	.426	.334	.323	29.2	48.8
328	 Story, Trevor	2021	595	24	139	53	23.4	8.9	.251	.800	75	.450	.341	.326	27.4	50.8
329	 Hernández, Teoscar	2021	595	32	148	36	24.9	6.1	.296	.870	116	.537	.369	.336	31.8	51.8
330	 Muncy, Max	2021	592	36	120	83	20.3	14.0	.249	.895	94	.580	.379	.387	23.4	37.6
331	 Meadows, Austin	2021	591	27	122	59	20.6	10.0	.234	.773	106	.425	.327	.325	24.4	46.7
332	 Rosario, Amed	2021	588	11	120	31	20.4	5.3	.282	.730	57	.368	.315	.310	24.8	48.9
333	 Bryant, Kris	2021	586	25	135	62	23.0	10.6	.265	.834	73	.449	.356	.349	28.0	48.7
334	 Mountcastle, Ryan	2021	586	33	161	41	27.5	7.0	.255	.796	89	.457	.335	.303	31.6	55.1
335	 Hernández, Enrique	2021	585	20	110	61	18.8	10.4	.250	.786	60	.455	.338	.342	23.5	44.6
336	 Castellanos, Nick	2021	585	34	121	41	20.7	7.0	.309	.938	100	.535	.391	.350	30.6	55.0
337	 Walsh, Jared	2021	585	29	152	48	26.0	8.2	.277	.849	98	.434	.357	.322	26.0	49.3
338	 Cruz Jr., Nelson	2021	584	32	126	51	21.6	8.7	.265	.831	86	.512	.346	.341	30.7	51.0
339	 Blackmon, Charlie	2021	582	13	91	54	15.6	9.3	.270	.762	78	.450	.333	.369	20.2	47.3
340	 Taylor, Chris	2021	582	20	167	63	28.7	10.8	.254	.782	73	.422	.338	.330	32.7	45.6
341	 Stanton, Giancarlo	2021	579	35	157	63	27.1	10.9	.273	.870	97	.498	.370	.346	32.6	44.2
342	 Rizzo, Anthony	2021	576	22	87	52	15.1	9.0	.248	.784	61	.434	.339	.356	20.8	46.5
343	 McCutchen, Andrew	2021	574	27	132	81	23.0	14.1	.222	.778	80	.431	.335	.352	25.9	41.7
344	 Suárez, Eugenio	2021	574	31	171	56	29.8	9.8	.198	.714	79	.455	.306	.302	29.5	42.7
345	 Renfroe, Hunter	2021	572	31	130	44	22.7	7.7	.259	.816	96	.506	.344	.320	25.9	48.2
346	 Urías, Luis	2021	570	23	116	63	20.4	11.1	.249	.790	75	.427	.340	.338	22.8	46.3
347	 Bell, Josh	2021	568	27	101	65	17.8	11.4	.261	.823	88	.488	.352	.363	24.1	46.7
348	 Segura, Jean	2021	567	14	78	39	13.8	6.9	.290	.784	58	.396	.338	.328	17.1	48.7
349	 Tucker, Kyle	2021	567	30	90	53	15.9	9.3	.294	.916	92	.576	.383	.369	20.3	52.5
350	 Hosmer, Eric	2021	565	12	99	48	17.5	8.5	.269	.732	65	.406	.319	.337	22.9	48.3
351	 Lopez, Nicky	2021	565	2	74	49	13.1	8.7	.300	.743	43	.305	.329	.313	15.4	45.1
352	 Pham, Tommy	2021	561	15	128	78	22.8	13.9	.229	.723	49	.438	.318	.362	23.6	38.2
353	 Harrison, Josh	2021	558	8	75	31	13.4	5.6	.279	.741	60	.420	.325	.340	18.8	55.4
354	 Duvall, Adam	2021	555	38	174	35	31.4	6.3	.228	.772	113	.499	.324	.281	29.3	50.0
355	 Adames, Willy	2021	555	25	156	57	28.1	10.3	.262	.818	73	.438	.349	.314	32.6	48.9
356	 Newman, Kevin	2021	554	5	41	27	7.4	4.9	.226	.574	39	.330	.249	.293	11.8	44.9
357	 Anderson, Tim	2021	551	17	119	22	21.6	4.0	.309	.807	61	.442	.345	.308	25.9	57.8
358	 Betts, Mookie	2021	550	23	86	68	15.6	12.4	.264	.854	58	.445	.365	.369	16.8	40.4
359	 Rojas, Josh	2021	550	11	137	58	24.9	10.5	.264	.752	44	.352	.327	.313	23.5	42.2
360	 Crawford, Brandon	2021	549	24	105	56	19.1	10.2	.298	.895	90	.492	.377	.341	29.3	51.7
361	 Cron, C.J.	2021	547	28	117	60	21.4	11.0	.281	.905	92	.481	.383	.360	27.4	47.1
362	 Báez, Javier	2021	547	31	184	28	33.6	5.1	.265	.813	87	.450	.344	.295	40.5	56.9
363	 Tatis Jr., Fernando	2021	546	42	153	62	28.0	11.4	.282	.975	97	.615	.403	.363	34.8	51.5
364	 Grichuk, Randal	2021	545	22	114	27	20.9	5.0	.241	.704	81	.402	.300	.278	23.2	52.3
365	 Smith, Pavin	2021	545	11	106	42	19.4	7.7	.267	.732	49	.402	.318	.321	17.3	42.1
366	 Donaldson, Josh	2021	543	26	114	74	21.0	13.6	.247	.827	72	.542	.353	.372	27.6	45.2
367	 Dozier, Hunter	2021	543	16	154	43	28.4	7.9	.216	.679	54	.388	.293	.295	32.4	48.8
368	 Andrus, Elvis	2021	541	3	81	31	15.0	5.7	.243	.614	37	.375	.270	.324	19.6	48.9
369	 Díaz, Yandy	2021	541	13	85	69	15.7	12.8	.256	.740	64	.399	.325	.353	19.3	42.6
370	 Gurriel Jr., Lourdes	2021	541	21	102	32	18.9	5.9	.276	.785	84	.462	.333	.319	24.2	50.9
371	 Rojas, Miguel	2021	539	9	74	37	13.7	6.9	.265	.714	48	.345	.311	.308	19.3	45.7
372	 Peralta, David	2021	538	8	92	46	17.1	8.6	.259	.727	63	.345	.314	.313	21.3	46.5
373	 Benintendi, Andrew	2021	538	17	97	36	18.0	6.7	.276	.766	73	.456	.328	.313	22.5	52.5
374	 Realmuto, J.T.	2021	537	17	129	48	24.0	8.9	.263	.782	73	.416	.336	.335	27.0	49.5
375	 O'Neill, Tyler	2021	537	34	168	38	31.3	7.1	.286	.912	80	.579	.384	.344	34.7	49.8
376	 Happ, Ian	2021	535	25	156	62	29.2	11.6	.226	.757	66	.396	.328	.320	32.3	43.9
377	 Votto, Joey	2021	533	36	127	77	23.8	14.4	.266	.938	99	.592	.391	.383	29.4	43.9
378	 Tapia, Raimel	2021	533	6	70	40	13.1	7.5	.273	.699	50	.308	.305	.298	14.7	51.2
379	 Yastrzemski, Mike	2021	532	25	131	51	24.6	9.6	.224	.768	71	.431	.326	.309	24.2	45.9
380	 Sanó, Miguel	2021	532	30	183	59	34.4	11.1	.223	.778	75	.439	.332	.306	38.2	44.6
381	 Farmer, Kyle	2021	529	16	97	22	18.3	4.2	.263	.732	63	.383	.316	.306	20.0	49.9
382	 Hays, Austin	2021	529	22	107	28	20.2	5.3	.256	.769	71	.432	.328	.298	24.6	46.4
383	 Taylor, Michael A.	2021	528	12	144	33	27.3	6.3	.244	.653	54	.390	.286	.299	30.9	51.9
384	 Grisham, Trent	2021	527	15	119	54	22.6	10.2	.242	.740	62	.368	.320	.328	21.7	40.5
385	 Cabrera, Miguel	2021	526	15	118	40	22.4	7.6	.256	.702	75	.420	.305	.301	25.8	49.4
386	 Marte, Starling	2021	526	12	99	43	18.8	8.2	.310	.841	55	.438	.364	.354	24.4	49.5
387	 Lindor, Francisco	2021	524	20	96	58	18.3	11.1	.230	.734	63	.450	.317	.345	23.2	47.4
388	 Torres, Gleyber	2021	516	9	104	50	20.2	9.7	.259	.697	51	.423	.307	.336	26.3	46.7
389	 García, Avisaíl	2021	515	29	121	38	23.5	7.4	.262	.820	86	.514	.346	.346	33.7	58.1
390	 Lowrie, Jed	2021	512	14	108	49	21.1	9.6	.245	.716	69	.464	.311	.332	24.2	46.7
391	 Iglesias, Jose	2021	511	9	75	21	14.7	4.1	.271	.700	48	.366	.304	.308	18.9	55.0
392	 Solak, Nick	2021	511	11	107	34	20.9	6.7	.242	.676	49	.361	.299	.310	24.8	46.0
393	 Aguilar, Jesús	2021	510	22	93	46	18.2	9.0	.261	.788	93	.453	.334	.329	25.9	44.8
394	 Brantley Jr., Michael	2021	508	8	53	33	10.4	6.5	.311	.799	47	.466	.347	.365	10.9	45.6
395	 Chisholm Jr., Jazz	2021	507	18	145	34	28.6	6.7	.248	.728	53	.409	.312	.295	29.7	47.2
396	 Villar, Jonathan	2021	505	18	132	46	26.1	9.1	.249	.738	42	.388	.320	.310	30.1	49.9
397	 Ozuna, Marcell	2020	267	18	60	38	22.5	14.2	.338	1.067	56	.632	.444	.407	31.4	46.3
398	 Lindor, Francisco	2020	266	8	41	24	15.4	9.0	.258	.750	27	.441	.324	.356	20.3	48.9
399	 Merrifield, Whit	2020	265	9	33	12	12.5	4.5	.282	.765	30	.439	.329	.334	16.1	49.3
400	 Biggio, Cavan	2020	265	8	61	41	23.0	15.5	.250	.807	28	.343	.355	.345	23.0	36.3
401	 Swanson, Dansby	2020	264	10	71	22	26.9	8.3	.274	.809	35	.474	.348	.341	31.6	47.2
402	 Freeman, Freddie	2020	262	13	37	45	14.1	17.2	.341	1.102	53	.663	.456	.463	20.1	48.2
